NO CLIENTE,NÚMERO DE PEDIDO,NOMBRE DEL CLIENTE,DESTINO,FECHA DE ENVÍO,PROMESA DE ENTREGA,FECHA DE ENTREGA REAL,FLETERA,NÚMERO DE GUÍA,COSTO DE LA GUÍA,CANTIDAD DE CAJAS,COMENTARIOS
C00454,232958,HOTEL MONTECARLO,"TAMPICO, TAM",07/01/2026,09/01/2026,07/01/2026,SOLO FACTURA,NA,0,1,Sin Informacion
C07427,232959,INSUMOS DEL NORTE,"CD JUAREZ, CHI",07/01/2026,12/01/2026,07/01/2026,SOLO FACTURA,NA,0,1,Sin Informacion
C09526,232960,HOTEL ZAPOTLAN,"ZAPOTLAN EL GRANDE, JAL",07/01/2026,12/01/2026,08/01/2026,TRES GUERRAS,GLZ02766784,300,5,06 DESPACHADO PARA ENTREGA DOMICI
C08062,232961,AUTO HOTEL NOCHE BUENA,"GUANAJUATO, GTO",07/01/2026,09/01/2026,08/01/2026,TRES GUERRAS,GLZ02766779,400,4,07 EMBARQUE ENTREGADO
C08323,232962,HOLIDAY INN EXPRESS SAN LUIS POTOSI A0201813 (SLPMV),"SAN LUIS POTOSI, SLP",07/01/2026,09/01/2026,08/01/2026,TRES GUERRAS,GLZ02766829,400,2,07 EMBARQUE ENTREGADO
C06557,232963,COURTYARD MARRIOTT MEXICO CITY VALLEJO A0097805,"CDMX, CMX",07/01/2026,09/01/2026,08/01/2026,TRES GUERRAS,GLZ02766832,1380,11,06 DESPACHADO PARA ENTREGA DOMICI
C05176,232964,HOLIDAY INN & SUITES LEON (BJXPM),"LEON, GTO",07/01/2026,09/01/2026,08/01/2026,TRES GUERRAS,GLZ02766839,480,8,06 DESPACHADO PARA ENTREGA DOMICI
C07252,232965,CITY EXPRESS CIUDAD DE MEXICO ALAMEDA (CEALM),"CUAUHTEMOC, CMX",07/01/2026,09/01/2026,08/01/2026,TRES GUERRAS,GLZ02766835,1140,19,06 DESPACHADO PARA ENTREGA DOMICI
C07200,232967,CITY EXPRESS TEHUACAN (CETCN),"TEHUACAN, PUE",07/01/2026,12/01/2026,08/01/2026,TRES GUERRAS,GLZ02766853,1335,15,06 DESPACHADO PARA ENTREGA DOMICI
C03131,232968,RESIDENCIAL MATAMOROS,"MATAMOROS, TAM",07/01/2026,12/01/2026,,CASTORES,14270169830,2435,30,Sin Informacion
C07256,232971,CITY EXPRESS LA RAZA (CELRZ),"CIUDAD DE MEXICO, CMX",07/01/2026,09/01/2026,00/01/1900,EXXPREZO,0-1751855,720,18,Llego a Sucursal
C07260,232973,CITY EXPRESS TIJUANA OTAY (CETIO),"TIJUANA, BC",07/01/2026,14/01/2026,10/01/2026,TRES GUERRAS,GLZ02766852,1602,18,03 TRANSITO ENTRE SUCURSALES
C06557,232974,COURTYARD MARRIOTT MEXICO CITY VALLEJO A0097805,"CDMX, CMX",07/01/2026,09/01/2026,08/01/2026,TRES GUERRAS,GLZ02766832,858,12,06 DESPACHADO PARA ENTREGA DOMICI
C08275,232975,HILTON MEXICO CITY REFORMA (MEXRF),"DELEGACION CUAUHTEMOC, CMX",07/01/2026,09/01/2026,00/01/1900,EXXPREZO,0-1752343,1440,36,Llego a Sucursal
C01687,232976,PARADISE REAL DE GUADALAJARA,"TLAQUEPAQUE, JAL",07/01/2026,09/01/2026,07/01/2026,LOCAL,NA,0,9,Sin Informacion
C07253,232977,CITY EXPRESS ROSARITO (CEROS),"PLAYAS DE ROSARITO, BC",07/01/2026,14/01/2026,00/01/1900,TRES GUERRAS,GLZ02766851,979,11,03 TRANSITO ENTRE SUCURSALES
C07423,232978,CITY EXPRESS TAPACHULA (CETAP),"TAPACHULA, CHS",07/01/2026,14/01/2026,09/01/2026,TRES GUERRAS,GLZ02766849,1068,12,13 BODEGA DE REEMBARQUES
C07181,232979,CITY EXPRESS PLUS MONTERREY GALERIAS  (CPMSJ),"MONTERREY, NL",07/01/2026,09/01/2026,00/01/1900,EXXPREZO,0-1751854,520,13,Desembarcada
C02270,232980,DOUBLETREE BY HILTON VERACRUZ (VERMA),"VERACRUZ, VER",07/01/2026,12/01/2026,09/01/2026,TRES GUERRAS,GLZ02766847,890,10,03 TRANSITO ENTRE SUCURSALES
C07281,232981,CITY EXPRESS LAZARO CARDENAS (CELZC),"LAZARO CARDENAS, MCH",07/01/2026,12/01/2026,08/01/2026,TRES GUERRAS,GLZ02766843,1068,12,06 DESPACHADO PARA ENTREGA DOMICI
C06116,232982,ONE GUADALAJARA CENTRO HISTORICO,"GUADALAJARA, JAL",07/01/2026,09/01/2026,07/01/2026,LOCAL,NA,0,290,Sin Informacion
C08883,232983,VOCO PUEBLA (PBCPL),"PUEBLA, PUE",07/01/2026,09/01/2026,00/01/1900,EXXPREZO,0-1751852,280,7,Llego a Sucursal
C06605,232984,FAIRFIELD MARRIOT NOGALES A0097801,"NOGALES, SON",07/01/2026,12/01/2026,00/01/1900,TRES GUERRAS,GLZ02766854,623,7,01 RECIBIDO EN BODEGA EMBARQUES
C01365,232986,HOTEL MORALES,"GUADALAJARA, JAL",07/01/2026,09/01/2026,07/01/2026,LOCAL,NA,0,28,Sin Informacion
C01365,232988,HOTEL MORALES,"GUADALAJARA, JAL",07/01/2026,09/01/2026,07/01/2026,LOCAL,NA,0,3,Sin Informacion
C04810,232989,BARCELO IXTAPA BEACH RESORT,"IXTAPA ZIHUATANEJO, GRO",07/01/2026,12/01/2026,07/01/2026,SOLO FACTURA,NA,NA,97,0
C07905,232990,HOTEL MARIA ISABEL,"COLIMA, COL",07/01/2026,09/01/2026,09/01/2026,TRES GUERRAS,GLZ02767072,600,20,01 RECIBIDO EN BODEGA EMBARQUES
C03856,232991,BEST WESTERN RIVIERA VERACRUZ,"ALVARADO, VER",07/01/2026,12/01/2026,09/01/2026,TRES GUERRAS,GLZ02766806,2581,29,03 TRANSITO ENTRE SUCURSALES
C08538,232992,HAMPTON INN AGUASCALIENTES (AGUHX),"AGUASCALIENTES, AGS",07/01/2026,09/01/2026,08/01/2026,TRES GUERRAS,GLZ02766855,660,11,06 DESPACHADO PARA ENTREGA DOMICI
C07529,232993,HOTEL CASA MONARCA,"PUEBLA, PUE",07/01/2026,09/01/2026,00/01/1900,EXXPREZO,0-1751851,160,4,Llego a Sucursal
C08905,232994,AÑORANZA HOTEL BOUTIQUE,"CIUDAD HIDALGO, MCH",07/01/2026,12/01/2026,00/01/1900,TRES GUERRAS,GLZ02766809,400,2,05 RECIBIDO EN BODEGA DE REPARTO
C07337,232995,HOTEL EXTENDED SUITES COATZACOALCOS FORUM,"COATZACOALCOS, VER",07/01/2026,12/01/2026,08/01/2026,TRES GUERRAS,GLZ02766860,445,5,05 RECIBIDO EN BODEGA DE REPARTO
C07334,232996,EXTENDED SUITES CIUDAD DEL CARMEN AEROPUERTO,"DEL CARMEN, CAM",07/01/2026,14/01/2026,10/01/2026,TRES GUERRAS,GLZ02766858,445,4,13 BODEGA DE REEMBARQUES
C07336,232997,HOTEL EXTENDED SUITES MEXICALI CATAVIÑA,"MEXICALI, BC",07/01/2026,14/01/2026,10/01/2026,TRES GUERRAS,GLZ02766857,712,8,03 TRANSITO ENTRE SUCURSALES
C07339,232998,HOTEL EXTENDED SUITES TIJUANA MACROPLAZA,"TIJUANA, BC",07/01/2026,14/01/2026,00/01/1900,TRES GUERRAS,GLZ02766856,623,7,03 TRANSITO ENTRE SUCURSALES
C07333,232999,HOTEL EXTENDED SUITES SALTILLO GALERIAS,"SALTILLO, COA",07/01/2026,12/01/2026,00/01/1900,TINY PACK,GD 3461086,562.43,10,Sin Informacion
C00454,233003,HOTEL MONTECARLO,"TAMPICO, TAM",07/01/2026,09/01/2026,09/01/2026,TRES GUERRAS,GLZ02766818,840,14,05 RECIBIDO EN BODEGA DE REPARTO
C03950,233005,HOTEL ALAMEDA CENTRO HISTORICO,"MORELIA, MCH",07/01/2026,12/01/2026,08/01/2026,TRES GUERRAS,GLZ02766814,2040,34,07 EMBARQUE ENTREGADO
C02052,233007,HOTEL SAN MARCOS,"SAN CRISTOBAL DE LAS CASAS, CHS",07/01/2026,14/01/2026,00/01/1900,TRES GUERRAS,GLZ02767078,623,7,01 RECIBIDO EN BODEGA EMBARQUES
C08373,233008,VILLAS DEL PALMAR LORETO,"LORETO, BCS",08/01/2026,15/01/2026,00/01/1900,TRES GUERRAS,GLZ02767067,1268.19,11,01 RECIBIDO EN BODEGA EMBARQUES
C07335,233011,HOTEL EXTENDED SUITES MONTERREY AEROPUERTO,"MONTERREY, NL",07/01/2026,09/01/2026,00/01/1900,EXXPREZO,0-1751858,320,8,Desembarcada
C07341,233012,EXTENDED SUITES CHIHUAHUA LA JUVENTUD,"CHIHUAHUA, CHI",07/01/2026,12/01/2026,09/01/2026,TRES GUERRAS,GLZ02766869,712,8,03 TRANSITO ENTRE SUCURSALES
CLIESP,233013,VENTAS DE MOSTRADOR,"GUADALAJARA, JAL",07/01/2026,09/01/2026,07/01/2026,SOLO FACTURA,NA,0,1,Sin Informacion
CLIESP,233014,VENTAS DE MOSTRADOR,"GUADALAJARA, JAL",07/01/2026,09/01/2026,07/01/2026,SOLO FACTURA,NA,0,2,Sin Informacion
C07342,233015,HOTEL EXTENDED SUITES QUERETARO,"JURIQUILLA, QUE",07/01/2026,09/01/2026,08/01/2026,TRES GUERRAS,GLZ02766867,360,6,06 DESPACHADO PARA ENTREGA DOMICI
CLIESP,233016,VENTAS DE MOSTRADOR,"GUADALAJARA, JAL",07/01/2026,09/01/2026,07/01/2026,SOLO FACTURA,NA,0,1,Sin Informacion
C03362,233017,EXTENDED SUITES MERIDA,"MERIDA, YUC",07/01/2026,12/01/2026,00/01/1900,TRES GUERRAS,GLZ02766865,623,7,03 TRANSITO ENTRE SUCURSALES
C00696,233018,MOTEL MARQUIS,"TLAJOMULCO DE ZUÑIGA, JAL",07/01/2026,09/01/2026,07/01/2026,LOCAL,NA,0,27,Sin Informacion
C04102,233019,VILLAS SOLARIS,"MPIO BENITO JUAREZ, QR",07/01/2026,14/01/2026,,VOLARIS,A02GDL29339925,2400,11,Sin Informacion
C04082,233021,RAMADA PLAZA VERACRUZ,"BOCA DEL RIO, VER",07/01/2026,12/01/2026,07/01/2026,SOLO FACTURA,NA,0,1,Sin Informacion
CLIESP,233022,VENTAS DE MOSTRADOR,"GUADALAJARA, JAL",07/01/2026,09/01/2026,07/01/2026,SOLO FACTURA,NA,0,1,Sin Informacion
CLIESP,233023,VENTAS DE MOSTRADOR,"GUADALAJARA, JAL",07/01/2026,09/01/2026,07/01/2026,SOLO FACTURA,NA,0,1,Sin Informacion
CLIESP,233025,VENTAS DE MOSTRADOR,"GUADALAJARA, JAL",07/01/2026,09/01/2026,07/01/2026,SOLO FACTURA,NA,0,3,Sin Informacion
CLIESP,233026,VENTAS DE MOSTRADOR,"GUADALAJARA, JAL",07/01/2026,09/01/2026,07/01/2026,SOLO FACTURA,NA,0,1,Sin Informacion
CLIESP,233027,VENTAS DE MOSTRADOR,"GUADALAJARA, JAL",07/01/2026,09/01/2026,07/01/2026,SOLO FACTURA,NA,0,1,Sin Informacion
CLIESP,233028,VENTAS DE MOSTRADOR,"GUADALAJARA, JAL",07/01/2026,09/01/2026,07/01/2026,SOLO FACTURA,NA,0,1,Sin Informacion
CLIESP,233029,VENTAS DE MOSTRADOR,"GUADALAJARA, JAL",07/01/2026,09/01/2026,07/01/2026,SOLO FACTURA,NA,0,1,Sin Informacion
CLIESP,233030,VENTAS DE MOSTRADOR,"GUADALAJARA, JAL",07/01/2026,09/01/2026,07/01/2026,SOLO FACTURA,NA,0,1,Sin Informacion
C08672,233031,HAMPTON INN PARAISO TABASCO,"PARAISO, TAB",07/01/2026,12/01/2026,00/01/1900,TRES GUERRAS,GLZ02766874,890,10,14 REEMBARCADO [N]
CLIESP,233032,VENTAS DE MOSTRADOR,"GUADALAJARA, JAL",07/01/2026,09/01/2026,07/01/2026,SOLO FACTURA,NA,0,1,Sin Informacion
C08164,233033,VILLAS DEL PALMAR FLAMINGOS,"NUEVO VALLARTA, NAY",07/01/2026,09/01/2026,,SANCHEZ,2841772,503.03,11,Sin Informacion
CLIESP,233034,VENTAS DE MOSTRADOR,"GUADALAJARA, JAL",07/01/2026,09/01/2026,07/01/2026,SOLO FACTURA,NA,0,1,Sin Informacion
C03447,233035,HAMPTON INN GUADALAJARA AEROPUERTO (GDLHA),"EL SALTO, JAL",07/01/2026,09/01/2026,07/01/2026,LOCAL,NA,0,16,Sin Informacion
C01510,233037,HOTEL LUCERNA CD JUAREZ,"CD.JUAREZ, CHI",07/01/2026,12/01/2026,09/01/2026,TRES GUERRAS,GLZ02766875,1335,15,03 TRANSITO ENTRE SUCURSALES
C05969,233038,DOUBLETREE GUADALAJARA CENTRO HISTORICO (GDLDT),"GUADALAJARA, JAL",07/01/2026,09/01/2026,07/01/2026,LOCAL,NA,0,20,Sin Informacion
C08637,233043,HOTEL LA ESTANCIA,"ZAPOPAN, JAL",07/01/2026,09/01/2026,07/01/2026,LOCAL,NA,0,5,Sin Informacion
C03079,233044,HOTEL EL PARAISO MINERAL DEL CHICO,"PACHUCA, HID",08/01/2026,13/01/2026,10/01/2026,TRES GUERRAS,GLZ02767124,1080,18,01 RECIBIDO EN BODEGA EMBARQUES
C09391,233046,LUA capsule rooms,"GUADALAJARA, JAL",07/01/2026,09/01/2026,07/01/2026,LOCAL,NA,0,3,Sin Informacion
C08325,233047,COURTYARD MARRIOTT MEXICALI,"MEXICALI, BC",07/01/2026,14/01/2026,00/01/1900,TRES GUERRAS,GLZ02766883,1246,14,01 RECIBIDO EN BODEGA EMBARQUES
C04758,233048,COURTYARD SALTILLO (SLWCS) A0100469,"SALTILLO, COA",07/01/2026,12/01/2026,,TINY PACK,GD 3461087,1213.34,22,Sin Informacion
C04260,233049,ENCORE SAN LUIS A0191479,"SAN LUIS POTOSI, SLP",07/01/2026,09/01/2026,09/01/2026,EXXPREZO,0-1752350,120,3,Entregada
C08330,233050,HAMPTON INN ZACATECAS,"ZACATECAS, ZAC",07/01/2026,12/01/2026,08/01/2026,TRES GUERRAS,GLZ02766881,720,12,06 DESPACHADO PARA ENTREGA DOMICI
C07087,233051,AZUL SIRENA,"SANTA CRUZ HUATULCO, OAX",07/01/2026,12/01/2026,00/01/1900,TRES GUERRAS,GLZ02766880,2670,30,02 DESPACHADO A SUCURSAL
C08383,233052,GARDEN INN CHIHUAHUA (CUUCM),"CHIHUAHUA, CHI",07/01/2026,12/01/2026,09/01/2026,TRES GUERRAS,GLZ02766877,979,11,03 TRANSITO ENTRE SUCURSALES
C08507,233053,HAMPTON INN BOCA DEL RIO,"BOCA DEL RIO, VER",07/01/2026,12/01/2026,09/01/2026,TRES GUERRAS,GLZ02766879,979,11,03 TRANSITO ENTRE SUCURSALES
C08730,233054,VOCO GUADALAJARA NERUDA (GDLVO),"GUADALAJARA, JAL",08/01/2026,12/01/2026,08/01/2026,LOCAL,NA,NA,5,Sin Informacion
C09621,233055,HOTEL PERLA ESCONDIDA,"TAMPICO, TAM",08/01/2026,12/01/2026,00/01/1900,TRES GUERRAS,GLZ02768775,400.02,3,Sin Informacion
C03910,233056,HOTEL VELAS LOS CABOS,"SAN JOSE DEL CABO, BCS",08/01/2026,15/01/2026,00/01/1900,TRES GUERRAS,GLZ02768799,523.89,3,Sin Informacion
C03115,233057,PRESIDENTE INTERCONTINENTAL GUADALAJARA,"ZAPOPAN, JAL",08/01/2026,12/01/2026,08/01/2026,LOCAL,NA,NA,20,Sin Informacion
C08194,233059,HOTEL PERLA ESCONDIDA,"TAMPICO, TAM",08/01/2026,12/01/2026,10/01/2026,TRES GUERRAS,GLZ02768747,400.02,3,Sin Informacion
C09558,233060,AUTOHOTEL REAL DEL MONTE,"CARDENAS, TAB",08/01/2026,13/01/2026,00/01/1900,TRES GUERRAS,GLZ02768735,890,10,Sin Informacion
C09039,233061,AUTO HOTEL INTIMISIMO,"VERACRUZ, VER",08/01/2026,13/01/2026,00/01/1900,TRES GUERRAS,GLZ02768721,890,10,Sin Informacion
C08700,233062,AUTOHOTEL VILLAVERDE,"VILLAHERMOSA CENTRO, TAB",08/01/2026,13/01/2026,10/01/2026,TRES GUERRAS,GLZ02768714,801,9,Sin Informacion
C00619,233063,CASA INN BUSINESS HOTEL CELAYA VELEROS,"CELAYA, GTO",08/01/2026,12/01/2026,09/01/2026,TRES GUERRAS,GLZ02768509,480,8,Sin Informacion
C03916,233064,HOTEL DOÑA CHELA,"CALVILLO, AGS",08/01/2026,12/01/2026,00/01/1900,TRES GUERRAS,GLZ02768699,420,7,Sin Informacion
C08387,233065,COURTYARD MAZATLAN A0157919,"MAZATLAN, SIN",08/01/2026,13/01/2026,,TINY PACK,GDL 45697,887.88,16,Sin Informacion
CLIESP,233066,VENTAS DE MOSTRADOR,"GUADALAJARA, JAL",08/01/2026,12/01/2026,08/01/2026,SOLO FACTURA,NA,NA,1,Sin Informacion
C08695,233067,HAMPTON INN CIUDAD DEL CARMEN (CMEMX),"CIUDAD DEL CARMEN, CAM",08/01/2026,13/01/2026,00/01/1900,TRES GUERRAS,GLZ02768528,712,8,Sin Informacion
C08794,233070,PARKLIFE PROPERTIES QUERETARO,"QUERETARO, QUE",08/01/2026,12/01/2026,,EXXPREZO,,,6,
C04861,233074,CORAL EJECUTIVO,"ZAPOPAN, JAL",08/01/2026,12/01/2026,08/01/2026,LOCAL,NA,NA,6,Sin Informacion
C03910,233076,HOTEL VELAS LOS CABOS,"SAN JOSE DEL CABO, BCS",08/01/2026,15/01/2026,00/01/1900,TRES GUERRAS,GLZ02768824,1729.35,15,Sin Informacion
C07991,233078,COURTYARD MARRIOTT MERIDA A0165799,"MERIDA, YUC",08/01/2026,13/01/2026,00/01/1900,TRES GUERRAS,GLZ02768470,2225,25,Sin Informacion
C08301,233079,CLICK EFFICIENCY COURTYARD PUEBLA LAS ANIMAS,"PUEBLA, PUE",08/01/2026,12/01/2026,00/01/1900,TRES GUERRAS,GLZ02768466,660,11,Sin Informacion
C07332,233080,EXTENDED SUITES CIUDAD JUAREZ CONSULADO,"CIUDAD JUAREZ, CHI",08/01/2026,13/01/2026,00/01/1900,TRES GUERRAS,GLZ02768453,801,9,Sin Informacion
C07202,233081,CITY JUNIOR PUEBLA ANGELOPOLIS (CJPAN ),"PUEBLA, PUE",08/01/2026,12/01/2026,00/01/1900,TRES GUERRAS,GLZ02768444,660,11,Sin Informacion
C07277,233083,CITY EXPRESS CANANEA (CECNA),"CANANEA, SON",08/01/2026,13/01/2026,,TINY PACK,GD 3461245,725.16,13,Sin Informacion
CF0044,233085,HAMPTON INN GUADALAJARA EXPO (GDLEX),"ZAPOPAN, JAL",08/01/2026,12/01/2026,08/01/2026, LOCAL,NA,NA,8,Sin Informacion
C08429,233087,CITY EXPRES PLUS MEXICALI (CPMXL),"MEXICALI, BC",08/01/2026,15/01/2026,00/01/1900,TRES GUERRAS,GLZ02768440,1157,13,Sin Informacion
C04248,233088,HOLIDAY INN EXPRESS GUADALAJARA AEROPUERTO (GDLOP),"EL SALTO, JAL",08/01/2026,12/01/2026,08/01/2026, LOCAL,NA,NA,10,Sin Informacion
C09455,233089,HOTEL CASA SANTA MARIA,"AMEALCO DE BONFIL, QUE",08/01/2026,13/01/2026,00/01/1900,TRES GUERRAS,GLZ02769079,360,6,Sin Informacion
C07175,233090,CITY EXPRESS AGUASCALIENTES SUR (CEAGU),"AGUASCALIENTES, AGS",08/01/2026,12/01/2026,09/01/2026,TRES GUERRAS,GLZ02768492,600,10,Sin Informacion
C08543,233091,HAMPTON INN SAN LUIS POTOSI,"SAN LUIS POTOSI, SLP",08/01/2026,12/01/2026,,EXXPREZO,,,16,
C07272,233092,CITY EXPRESS CULIACAN (CECUL),"CULIACAN, SIN",08/01/2026,13/01/2026,09/01/2026,TRES GUERRAS,GLZ02768486,720,12,Sin Informacion
C07427,233093,INSUMOS DEL NORTE,"CD JUAREZ, CHI",08/01/2026,13/01/2026,10/01/2026,TRES GUERRAS,GLZ02768850,12113.12,455,Sin Informacion
C02296,233094,CITY EXPRESS NOGALES (CENOG),"NOGALES, SON",08/01/2026,13/01/2026,00/01/1900,TRES GUERRAS,GLZ02768477,2581,29,Sin Informacion
C02016,233095,CITY EXPRESS ZACATECAS (CEZCL),"ZACATECAS, ZAC",08/01/2026,13/01/2026,09/01/2026,TRES GUERRAS,GLZ02768580,900,1,Sin Informacion
C02016,233096,CITY EXPRESS ZACATECAS (CEZCL),"ZACATECAS, ZAC",08/01/2026,13/01/2026,09/01/2026,TRES GUERRAS,GLZ02768580,60,14,07 EMBARQUE ENTREGADO
C07279,233097,CITY EXPRESS TUXTLA GUTIERREZ (CETGZ),"TUXTLA GUTIERREZ, CHS",08/01/2026,13/01/2026,10/01/2026,TRES GUERRAS,GLZ02768817,1602,18,Sin Informacion
C05623,233098,MEDANO HOTEL & SUITES,"CABO SAN LUCAS, BCS",08/01/2026,15/01/2026,00/01/1900,TRES GUERRAS,GLZ02768589,1268.19,11,Sin Informacion
C01123,233099,MOTEL BENIDORM,"GUADALAJARA, JAL",08/01/2026,12/01/2026,08/01/2026, LOCAL,NA,NA,8,Sin Informacion
C07320,233100,CITY EXPRESS TIJUANA INSURGENTES (CETII),"TIJUANA, BC",08/01/2026,15/01/2026,00/01/1900,TRES GUERRAS,GLZ02768807,890,10,Sin Informacion
C02635,233101,CITY EXPRESS CIUDAD DEL CARMEN (CECME ),"DEL CARMEN, CAM",08/01/2026,15/01/2026,08/01/2026,SOLO FACTURA,NA,NA,1,Sin Informacion
C02635,233102,CITY EXPRESS CIUDAD DEL CARMEN (CECME ),"DEL CARMEN, CAM",08/01/2026,15/01/2026,00/01/1900,TRES GUERRAS,GLZ02768766,445,5,Sin Informacion
C07203,233103,CITY EXPRESS HERMOSILLO (CEHMO),"HERMOSILLO, SON",08/01/2026,13/01/2026,,TINY PACK,GDL 45692,1321.83,24,Sin Informacion
C07214,233104,CITY EXPRESS CAMPECHE (CECPE),"SAN FRANCISCO DE CAMPECHE, CAM",08/01/2026,13/01/2026,00/01/1900,TRES GUERRAS,GLZ02768758,1513,17,Sin Informacion
C07232,233105,CITY EXPRESS IRAPUATO NORTE (CEIRN),"IRAPUATO, GTO",08/01/2026,12/01/2026,08/01/2026,SOLO FACTURA,NA,NA,1,Sin Informacion
C07232,233106,CITY EXPRESS IRAPUATO NORTE (CEIRN),"IRAPUATO, GTO",08/01/2026,12/01/2026,09/01/2026,TRES GUERRAS,GLZ02768749,400,4,Sin Informacion
C07401,233107,CITY EXPRESS ENSENADA (CEESE),"ENSENADA, BC",08/01/2026,15/01/2026,00/01/1900,TRES GUERRAS,GLZ02768599,801,9,Sin Informacion
C07810,233108,CITY CENTRO SAN LUIS POTOSI (CCSLP),"SAN LUIS POTOSI, SLP",08/01/2026,12/01/2026,09/01/2026,TRES GUERRAS,GLZ02768832,600,10,Sin Informacion
C07639,233109,CITY EXPRESS HERMOSILLO EXPO (CEHME),"HERMOSILLO, SON",08/01/2026,13/01/2026,,TINY PACK,GDL 45685,779.4,14,Sin Informacion
C07264,233110,CITY CENTRO OAXACA (CCOAX),"OAXACA, OAX",08/01/2026,13/01/2026,09/01/2026,TRES GUERRAS,GLZ02768578,1869,21,Sin Informacion
C04176,233111,CITY EXPRESS TIJUANA FLORIDO (CETIF),"TIJUANA, BC",08/01/2026,15/01/2026,00/01/1900,TRES GUERRAS,GLZ02768614,801,9,Sin Informacion
